provider_id,Measure,payment_measure_id,hospital_type,hospital_owner,hospital_overall_rating,mortality_code,readmission_code,effectiveness_of_care_code,timeliness_of_care_code,patient_experience_code,SIR_compared_to_national_code,SIR_score,spend_score,payment,value_of_care_category_code
10085,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,0,1,-1,-1,0,1,0.29,1,15670,-1
10086,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,0,1,0,1,0,0,0,1,14090,0
10087,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - State,2,0,-1,0,-1,1,0,1.169,0.94,17200,0
10089,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,1,0,0,1.033,0.98,15862,0
10090,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,2,-1,1,0,-1,0,1,0.582,0.99,16318,0
10092,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,-1,-1,0,-1,0,0,0.887,1,16608,0
10099,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,0,-1,0,1,-1,0,1.134,0.99,16120,-1
10100,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,-1,0,-1,1,1,0.195,0.94,16117,0
10101,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,0,0,1,-1,0,0.548,0.96,17445,0
10103,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,3,-1,-1,0,-1,0,0,0.807,1,17605,-1
10104,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,1,0,1,0.359,1.02,19086,0
10108,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,4,0,1,0,-1,0,0,1.05,0.93,16714,0
10112,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,0,-1,0,0,0,0,0.402,1.06,15987,0
10113,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,-1,0,-1,1,1,0.527,0.98,17401,0
10114,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,1,0,1,-1,1,0.383,1,17354,0
10118,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,0,0,0,-1,0,0.736,0.93,16052,0
10120,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,3,0,1,0,0,1,0,0.827,0.94,16158,-1
10125,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,5,1,1,0,1,0,0,0.414,0.97,13412,1
10126,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Federal,2,0,-1,0,0,-1,0,0.33,0.96,16012,0
10129,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,-1,0,0,1,0,0.331,0.9,14599,0
10130,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,-1,0,0,1,0,0.435,0.91,13871,0
10131,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,-1,-1,0,0.764,0.98,15250,0
10139,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,0,-1,1,0.487,1.05,16721,0
10144,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,-1,0,1,0.597,0.99,17214,0
10148,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,-1,0,0,0,0,0,0.91,15559,0
10149,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,4,0,1,0,-1,0,0,1.155,0.98,15871,0
10150,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,0,1,0,1,1,0,0,1.01,16483,0
10157,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,0,-1,0,1,0,0,0.786,1.12,15129,0
10158,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,0,1,0,1,0,1,0,0.94,15006,0
10164,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,2,0,1,0,0,-1,0,1.579,1,15803,-1
10168,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - State,4,NA,-1,0,0,1,0,0,0.98,NA,NA
10169,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,4,0,0,0,1,0,0,0,0.91,16419,0
11305,HAI_6,PAYM_30_PN,Critical Access Hospitals,Voluntary non-profit - Private,3,0,-1,-1,0,1,0,0.941,NA,18839,0
20001,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,4,0,1,0,-1,0,0,1.023,0.91,13900,0
20006,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,2,0,-1,0,0,0,1,0.293,0.76,13829,0
20008,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,3,0,0,0,0,1,0,0.267,0.84,12951,-1
20012,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,4,0,1,0,0,1,1,0.192,0.86,13690,0
20017,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,0,1,0,0,-1,0,0.977,0.89,17218,0
20024,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,2,0,-1,0,-1,0,0,1.794,0.88,15056,0
20026,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Federal,2,0,1,0,-1,-1,0,1.233,0.92,13909,0
21311,HAI_6,PAYM_30_PN,Critical Access Hospitals,Voluntary non-profit - Church,3,0,1,0,0,0,0,0,NA,12766,0
21313,HAI_6,PAYM_30_PN,Critical Access Hospitals,Voluntary non-profit - Private,4,NA,0,NA,NA,1,0,0.264,NA,14735,0
30001,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,1,0,0,-1,0,1.137,0.93,17218,0
30002,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,3,0,1,0,0,-1,1,0.574,0.98,19796,0
30006,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,1,0,-1,-1,0,0.895,1,19879,0
30007,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,5,0,1,0,0,0,-1,1.58,1,17708,0
30010,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,1,0,-1,-1,1,0.367,1.05,16958,0
30011,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,3,-1,1,0,-1,-1,0,0.798,1.02,18273,0
30012,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,3,-1,1,0,0,0,0,1.075,0.98,16506,0
30013,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,1,0,-1,-1,1,0.733,0.99,17981,0
30014,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,0,0,0,-1,0,0.855,1.01,19632,0
30016,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,2,0,-1,0,0,-1,0,0.627,0.95,17868,0
30022,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,2,NA,0,0,0,-1,0,1.033,1.02,16314,0
30023,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,-1,1,0,1.1,0.96,16659,1
30024,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,2,0,-1,0,-1,0,0,0.858,1,18982,0
30030,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,0,-1,0,0.987,1.01,17827,0
30033,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,4,0,1,0,0,-1,0,1.436,0.86,18562,0
30036,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,4,0,1,0,0,-1,-1,1.234,1,18565,0
30037,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,-1,-1,1,0.347,0.98,20390,0
30038,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,0,1,0,1,-1,0,1.097,1.02,17686,0
30043,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,1,0,-1,0,-1,-1,0,1.053,0.94,17282,0
30055,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,0,-1,-1,0,-1,0,1.267,0.93,14696,0
30061,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,5,1,1,0,0,-1,1,0.604,0.93,17829,0
30062,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,5,0,1,-1,-1,1,1,0.257,0.9,17179,0
30064,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,0,0,-1,-1,-1,1.504,0.98,16892,0
30065,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,1,-1,0,0,-1,1,0.529,0.99,18926,0
30068,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,NA,1,-1,1,0,0,0,0.88,15686,0
30069,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,1,0,0,-1,0,0.745,0.9,15564,0
30071,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Federal,1,NA,-1,0,NA,-1,0,0.829,0.71,11312,0
30073,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,2,NA,0,0,NA,-1,0,0.236,0.84,12186,0
30078,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Federal,NA,NA,NA,0,NA,0,0,1.566,0.7,NA,NA
30083,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,0,0,0,-1,0,0.668,0.98,17580,0
30084,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Federal,3,NA,1,-1,NA,0,0,2.312,0.62,10778,0
30085,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,-1,-1,0,-1,-1,0,0.996,0.99,17473,0
30087,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,1,0,0,1,-1,0,1.028,1.02,17577,1
30088,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,1,1,0,0,-1,1,0.638,0.98,17715,0
30089,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,1,0,-1,0,1,0.594,1.01,18978,0
30092,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,1,0,0,-1,0,1.097,1,19003,0
30093,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,-1,1,0,0,-1,1,0.699,0.94,18559,0
30094,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,1,0,0,-1,0,0.983,1.02,17288,0
30101,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,-1,-1,0,1.135,0.9,15904,0
30103,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,5,1,1,0,0,1,-1,1.285,0.93,16483,1
30105,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,5,1,1,NA,NA,1,1,0.34,1.01,17580,0
30110,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,1,0,0,-1,1,0.676,0.93,17815,0
30111,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,1,0,-1,-1,1,0.51,0.91,17414,0
30114,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,-1,0,-1,0,0,0.763,0.99,15579,0
30115,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,-1,1,1,0.512,0.93,17435,0
30117,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,-1,0,0,0,0,1.829,0.88,17440,0
30119,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,5,1,1,0,0,0,0,0.843,1,18895,0
30121,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,0,0,-1,-1,0,1.015,1.03,21487,0
30122,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,4,0,1,0,0,1,0,1.405,0.98,16717,0
30123,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,5,0,1,0,1,1,0,0.779,0.96,17413,0
30130,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,0,1,0,1.247,0.87,17861,0
30134,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,4,0,0,0,1,1,0,0,0.81,15834,0
30137,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,0,-1,0,0.671,0.91,16853,0
40001,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,3,0,-1,0,1,0,0,0.738,1.01,17549,0
40002,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,-1,0,1,0,0,0,1,13489,0
40004,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,-1,1,0,-1,-1,0,0.956,1.01,18258,-1
40007,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,1,-1,-1,0,-1,-1,1,0.326,1.01,18638,0
40010,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,4,0,1,0,0,0,0,0.764,0.96,17976,0
40014,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,-1,-1,0,1,0,1,0.516,0.98,17054,0
40015,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,3,-1,0,0,1,0,0,0,1.15,15615,0
40016,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - State,1,0,-1,-1,-1,-1,0,1.052,1.01,17495,0
40017,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,4,0,1,0,0,0,0,0,0.88,15696,0
40019,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,1,0,0,0.538,0.89,15943,-1
40020,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,1,-1,-1,0,0,1,1,0.632,1.04,18010,-1
40022,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,-1,1,0,1,-1,0,1.057,0.98,16020,0
40026,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,1,-1,-1,0,0,-1,0,0.99,0.96,16198,0
40027,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,-1,1,0,1,0,1,0.447,1,16947,0
40029,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,-1,-1,0,1,0,0,0.813,0.99,16747,-1
40036,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,-1,-1,0,0,0,1,0.606,1.02,17483,0
40039,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,1,0,-1,-1,1,0,0,0.665,1.04,16519,0
40041,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,-1,0,0,0,-1,0,0.577,1,17205,0
40050,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,0,0,1,0,0,0,1.06,15461,0
40051,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,1,-1,0,0,0,0.329,0.86,16070,0
40055,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,1,-1,-1,0,-1,-1,0,0.861,1.03,18871,0
40062,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,0,1,0,1.122,1.03,18942,0
40067,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,3,-1,1,0,0,0,0,0,1.11,16727,-1
40069,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,1,0,-1,0,1,-1,0,0.907,0.89,15170,0
40071,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,1,-1,-1,0,0,-1,0,0.807,1.09,16791,-1
40072,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,-1,0,1,1,0,0.753,0.92,16396,0
40074,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,1,0,-1,0,1,-1,0,0.492,1.24,19357,0
40076,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,-1,0,1,1,1,0.164,0.87,15482,0
40078,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,-1,-1,0,1,0,0,0.961,1.04,19137,-1
40084,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,-1,1,-1,0,0.99,1,15514,0
40085,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,1,-1,0,0.57,0.74,14442,0
40088,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,-1,1,0,1,0,0,1.074,1.05,17253,-1
40114,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,1,-1,-1,0,0,-1,1,0.713,1.01,17451,-1
40118,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,3,0,-1,0,0,0,0,1.209,1,17061,0
40119,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,-1,1,0,1,0,0,0.776,0.96,17258,0
40134,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,4,0,-1,0,1,1,0,0.57,0.93,16634,0
40137,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,2,0,-1,0,0,-1,0,0,1.06,18475,0
40153,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,-1,0,1,0,0,0,0.94,17393,0
40154,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,NA,NA,NA,0,0,NA,0,0.308,0.85,NA,NA
41312,HAI_6,PAYM_30_PN,Critical Access Hospitals,Voluntary non-profit - Private,4,0,0,0,1,1,0,0,NA,16465,0
41321,HAI_6,PAYM_30_PN,Critical Access Hospitals,Voluntary non-profit - Private,3,0,0,0,1,0,0,0.384,NA,15953,0
41324,HAI_6,PAYM_30_PN,Critical Access Hospitals,Voluntary non-profit - Church,NA,0,0,NA,NA,NA,0,0.69,NA,15921,0
50002,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,1,0,-1,0,0,-1,1,0.563,1.07,18713,0
50006,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,1,-1,-1,-1,0,0.637,0.93,16548,0
50007,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,5,1,1,0,0,1,0,1.082,0.93,15102,1
50008,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,3,0,1,0,0,-1,0,1.169,0.97,16216,0
50009,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,4,0,1,0,-1,-1,-1,1.894,0.91,15471,0
50013,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,1,0,0,0,0,1.383,0.92,18133,0
50014,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,-1,0,0,0,1,0.186,0.96,16612,0
50017,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,3,0,0,0,-1,0,-1,1.328,0.94,16344,0
50018,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,0,0,0,-1,0,0.989,1.12,20183,0
50022,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,0,-1,0,-1,-1,-1,1.356,1.03,17904,0
50024,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,-1,0,-1,-1,1,0.318,1.11,21674,0
50025,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,2,1,-1,0,-1,0,0,0.954,1.01,17490,0
50026,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,-1,-1,0,-1,0,-1,1.288,1.01,17671,0
50028,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,3,0,1,0,0,0,0,0.4,0.92,15722,0
50030,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,1,1,-1,-1,-1,-1,0,0.73,0.82,16259,1
50036,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,1,-1,-1,0,-1,-1,0,0.888,1,17595,0
50038,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,3,0,1,0,-1,-1,0,1.144,1,17216,-1
50039,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,0,-1,0,0,1,0,0.943,0.97,16329,-1
50040,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Other,3,NA,1,0,-1,0,-1,1.369,0.86,15650,0
50042,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,3,-1,1,0,0,0,0,1.021,0.88,14538,0
50043,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,1,1,0,-1,-1,0,1.044,1.01,18243,0
50045,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Local,2,0,1,0,-1,-1,0,0.874,0.93,17791,0
50047,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,5,1,0,0,-1,-1,0,1.07,0.92,14731,0
50054,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,2,0,0,0,-1,-1,-1,1.648,1.12,18760,0
50055,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,3,0,1,0,0,-1,0,1.082,0.91,16395,0
50056,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,1,-1,-1,-1,-1,-1,0,1.181,0.97,19366,-1
50057,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,0,0,-1,-1,-1,1.538,0.95,15885,0
50058,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,4,1,-1,0,0,-1,0,0.947,1.11,19964,0
50060,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Private,2,0,-1,0,-1,-1,-1,1.461,1,17743,0
50063,HAI_6,PAYM_30_PN,Acute Care Hospitals,Proprietary,2,1,-1,0,-1,-1,1,0.556,1.13,19917,1
50067,HAI_6,PAYM_30_PN,Acute Care Hospitals,Government - Hospital District or Authority,3,0,0,0,0,-1,0,0,0.89,16291,0
50069,HAI_6,PAYM_30_PN,Acute Care Hospitals,Voluntary non-profit - Church,3,-1,1,-1,-1,1,0,0.794,0.99,18070,-1
